Дата запуска;Заказ-Партия;Заказчик;Спецификация;Номенклатура;Дефицит
2020-05-06;02657-1;ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ ООО;ПТ/ОЭМЗ-01/18 от 26.02.2018, Спецификация №49 от 27.03.2020;Хомут по чертежу Х-1 М20.09Г2С-15.ТД4 Чертёж: ДК10-Х-1.01;65.28
2020-05-06;02657-1;ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ ООО;ПТ/ОЭМЗ-01/18 от 26.02.2018, Спецификация №49 от 27.03.2020;Гайка М20-6h.8.ТД4 ГОСТ ISO 4032-2014;17.66014418
2020-05-06;02657-1;ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ ООО;ПТ/ОЭМЗ-01/18 от 26.02.2018, Спецификация №49 от 27.03.2020;Шпилька по чертежу Ш-1 М24х350.40Х.ТД4 ДК10-Ш-1.02;14.88
2020-05-06;921386-4;ГАС ООО;Договор поставки №331-ГАС-17 от 13.06.2017, Спецификация №6 от 21.11.2019;Гайка М30-6h.8.Гл ГОСТ ISO 4032-2014;55.95674562
2020-05-06;921386-4;ГАС ООО;Договор поставки №331-ГАС-17 от 13.06.2017, Спецификация №6 от 21.11.2019;Гайка М20-6h.8.Гл ГОСТ ISO 4032-2014;345.0545829
2020-05-08;02647-1;ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ ООО;ПТ/ОЭМЗ-01/18 от 26.02.2018, Спецификация №49 от 27.03.2020;Хомут по чертежу Х-1 М20.09Г2С-15.ТД4 Чертёж: ДК10-Х-1.01;21.76
2020-05-08;02647-1;ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ ООО;ПТ/ОЭМЗ-01/18 от 26.02.2018, Спецификация №49 от 27.03.2020;Гайка М20-6h.8.ТД4 ГОСТ ISO 4032-2014;5.88671473
2020-05-08;02647-1;ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ ООО;ПТ/ОЭМЗ-01/18 от 26.02.2018, Спецификация №49 от 27.03.2020;Штырь Ш-20-2-55 ГОСТ 18381-80;8.0
2020-05-08;02646-1;ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ ООО;ПТ/ОЭМЗ-01/18 от 26.02.2018, Спецификация №49 от 27.03.2020;Шпилька по чертежу Ш-1 М24х350.40Х.ТД4 ДК10-Ш-1.02;3.72
2020-05-08;02646-1;ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ ООО;ПТ/ОЭМЗ-01/18 от 26.02.2018, Спецификация №49 от 27.03.2020;Хомут по чертежу Х-1 М20.09Г2С-15.ТД4 Чертёж: ДК10-Х-1.01;16.32
2020-05-08;02646-1;ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ ООО;ПТ/ОЭМЗ-01/18 от 26.02.2018, Спецификация №49 от 27.03.2020;Гайка М20-6h.8.ТД4 ГОСТ ISO 4032-2014;4.41503605
2020-05-08;02646-1;ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ ООО;ПТ/ОЭМЗ-01/18 от 26.02.2018, Спецификация №49 от 27.03.2020;Штырь Ш-20-2-55 ГОСТ 18381-80;12.0
2020-05-08;02647-1;ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ ООО;ПТ/ОЭМЗ-01/18 от 26.02.2018, Спецификация №49 от 27.03.2020;Шпилька по чертежу Ш-1 М24х350.40Х.ТД4 ДК10-Ш-1.02;4.96
2020-05-08;921386-2;ГАС ООО;Договор поставки №331-ГАС-17 от 13.06.2017, Спецификация №6 от 21.11.2019;Гайка М30-6h.8.Гл ГОСТ ISO 4032-2014;47.96292482
2020-05-08;921386-2;ГАС ООО;Договор поставки №331-ГАС-17 от 13.06.2017, Спецификация №6 от 21.11.2019;Гайка М20-6h.8.Гл ГОСТ ISO 4032-2014;295.76107106
2020-05-08;921386-2;ГАС ООО;Договор поставки №331-ГАС-17 от 13.06.2017, Спецификация №6 от 21.11.2019;Болт М14-6gх45.8.8.Гл ГОСТ 7798-70;16.08979592
